New,dl_bler,ul_bler,conn_avg,conn_max,interx2in_succ_rate,interx2out_succ_rate,intraenb_succ_rate,dl_prb,ul_prb,reconfig_succ_rate
1004_0-20210901-23,9.60956031060398,17.6066155043916,29.8015564202335,44.0,97.1781305114639,100.0,100.0,60.0513371266003,43.4012660028449,99.7286295793759
1004_0-20210902-0,10.5482745760481,13.3085272562424,29.3122222222222,44.0,97.991967871486,100.0,100.0,52.3018349928876,53.4820625889047,99.9530663329161
1004_0-20210902-1,8.02376849787148,16.1937695553435,19.9321845469705,32.0,98.0769230769231,100.0,100.0,24.6583522727273,21.4890767045455,99.9834765366821
1004_0-20210902-2,9.02387333676707,20.0600783363438,18.7022222222222,32.0,98.0769230769231,100.0,100.0,15.7992745376956,6.14833570412518,100.160674834304
1004_0-20210902-3,7.3224519103076,13.1930766922825,20.2267926625903,34.0,98.9795918367347,98.989898989899,100.0,18.9183357041252,9.05014224751067,100.058490933905
1004_0-20210902-4,7.10206680164027,13.8190897565518,18.0594444444444,31.0,99.1525423728814,100.0,100.0,12.9759743954481,6.49795163584637,100.0
1004_0-20210902-5,7.39138887919548,17.946329444195,19.0127848804892,32.0,98.1042654028436,99.4897959183674,100.0,13.392347083926,7.74963015647226,100.03659652333
1004_0-20210902-6,10.1904402762858,26.0437203716115,23.0011111111111,40.0,97.9066022544283,100.0,99.5283018867925,26.3178947368421,13.9549928876245,99.8692810457516
1004_0-20210902-7,11.8575698879497,32.7406940706739,20.7331851028349,37.0,97.6893453145058,100.0,99.2156862745098,26.8201991465149,15.977012802276,99.2720249591443
1004_0-20210902-8,,,20.7265147304058,38.0,,99.7881355932203,98.8538681948424,28.410426742532,19.3765007112376,98.4658691062632
1004_0-20210902-9,,,26.8122222222222,42.0,97.0287836583101,99.8102466793169,98.8262910798122,37.2504403409091,30.7017613636364,97.3687973687974
1004_0-20210902-10,11.4739523290039,25.0077033517792,23.2006670372429,38.0,97.5409836065574,99.896694214876,100.0,34.5160028449502,25.6810099573258,97.7287475665153
1004_0-20210902-11,11.7357682893747,26.9544012690793,22.4005555555556,39.0,95.7273652085453,99.6835443037975,99.7711670480549,29.8869843527738,28.7433854907539,97.5846262341326
1004_0-20210902-12,11.6434627236808,26.4690054813512,19.757643135075,36.0,98.0582524271845,99.8933901918977,99.3135011441648,23.2668278805121,20.1076102418208,97.1899392888118
1004_0-20210902-13,11.7972649602984,28.999199510486,,,97.165991902834,100.0,100.0,30.8155476529161,31.9373826458037,98.3328090594527
1004_0-20210902-14,11.8626629153699,28.6927639536132,21.2677777777778,37.0,96.8342644320298,99.9031007751938,99.2753623188406,28.0273826458037,28.9580085348506,98.1276856967465
1004_0-20210902-15,12.1285310638638,29.9955070776889,19.84046692607,40.0,97.9842243645925,99.9111111111111,99.7967479674797,36.0004836415363,26.116813655761,97.8080475966808
1004_0-20210902-16,11.5474440019416,28.1300628017545,21.2534741523068,37.0,96.5364120781528,100.0,99.7979797979798,29.7085917496444,25.6447937411095,97.3805625837178
1004_0-20210902-17,13.5683796615655,29.1572100733711,25.71,41.0,96.9875091844232,99.7815003641661,99.8171846435101,45.8430113636364,35.9588068181818,97.0216029656142
1004_0-20210902-18,11.9754318249383,31.8899785864976,28.9193996664814,46.0,96.6796875,100.0,99.3993993993994,61.0001280227596,40.4615931721195,97.5321278289549
1004_0-20210902-19,11.8856924656231,27.9661028505537,30.4174541411896,48.0,96.590066716086,99.6965098634294,99.8637602179837,52.0313086770982,40.421266002845,97.0859074484206
1004_0-20210902-20,12.2799031454974,26.7423616049263,29.2451361867704,43.0,97.7165354330709,100.0,99.8748435544431,58.3025035561878,44.1963015647226,97.5703324808184
1004_0-20210902-21,12.7008444116376,23.4452172719503,30.1566666666667,45.0,97.1453287197232,100.0,99.8505231689088,53.8722190611664,57.126386913229,98.3160783335412
1004_0-20210902-22,10.7743124986322,23.7406811914745,31.3185102834908,49.0,98.2599795291709,100.0,99.6845425867508,55.2428022759602,54.3256472261736,98.2292759706191
1004_0-20210902-23,9.6071615737384,17.7483839972921,29.0544747081712,44.0,98.2866043613707,100.0,100.0,42.9923186344239,48.7478947368421,99.6729110912876
1004_0-20210903-0,9.22237391714207,21.1615399209059,27.38,42.0,98.6754966887417,100.0,100.0,39.662759601707,38.2576102418208,99.7546212988713
1004_0-20210903-1,7.83449224987027,14.3967966309394,18.9972206781545,35.0,95.9302325581395,99.4791666666667,100.0,21.1385085227273,14.1848579545455,99.3392070484582
1004_0-20210903-2,6.27081013284739,12.0623448299726,16.8405555555556,31.0,,99.2063492063492,,16.8285633001422,10.7407112375533,99.9526739233318
1004_0-20210903-3,6.91193682797796,12.4182378545172,20.2790439132852,31.0,98.1651376146789,100.0,100.0,14.2495590327169,10.2915362731152,99.9790751203181
1004_0-20210903-4,8.74527949765073,11.8335755557972,17.3644444444444,31.0,99.1304347826087,100.0,100.0,10.6570554765292,7.95073968705548,99.9780749835563
1004_0-20210903-5,12.3751479096286,12.8471939360886,17.8354641467482,31.0,98.5074626865672,100.0,100.0,13.5989900426743,10.3946372688478,99.5424292845258
1004_0-20210903-6,11.1702345171645,20.0299110697403,21.8233333333333,34.0,98.0735551663748,100.0,99.5073891625616,33.77106685633,19.4794310099573,99.7511199601792
1004_0-20210903-7,14.3045433122651,26.2604071622954,19.8727070594775,33.0,97.8407557354926,100.0,100.0,30.085960170697,18.8857752489331,98.5500082385896
1004_0-20210903-8,13.6181560271415,37.0317494673361,19.4341300722624,38.0,97.1252566735113,99.892703862661,99.7159090909091,28.1500568990043,18.5675533428165,98.5990266922283
1004_0-20210903-9,12.1729129653926,29.3300001896107,20.6488888888889,34.0,97.7077363896848,99.9000999000999,99.3865030674847,29.1476704545455,22.7752840909091,98.3591038182392
1004_0-20210903-10,10.9186953450625,24.1650633361194,22.8793774319066,39.0,97.9310344827586,100.0,99.5926680244399,25.8107396870555,29.3253911806543,98.8981583503856
1004_0-20210903-11,11.2937670029167,24.8849924519182,20.9427459699833,36.0,98.0295566502463,100.0,99.7701149425287,28.3499573257468,30.5517496443812,97.9040852575488
1004_0-20210903-12,11.3077109890101,24.4901029006108,21.3372222222222,38.0,97.2894482090997,100.0,99.789029535865,26.449573257468,25.547652916074,98.0205986482137
1004_0-20210903-13,10.3995377037681,23.3238355482356,24.0900500277932,41.0,97.3967684021544,99.9110320284698,100.0,28.1339402560455,29.4121906116643,97.7535301668806
1004_0-20210903-14,9.27849712295126,22.9139265440722,25.0878265703168,41.0,98.4481086323957,100.0,100.0,37.8805120910384,37.4550213371266,97.0657461164287
1004_0-20210903-15,11.3055541709316,26.9198587124935,24.1883333333333,38.0,98.3952702702703,100.0,99.8284734133791,34.7589900426743,30.8042105263158,97.2102387115329
1004_0-20210903-16,12.3355991691965,28.0131951117976,27.1256253474152,43.0,96.9126506024096,99.8461538461539,99.6350364963504,34.0531294452347,33.8200426742532,97.8584252372403
1004_0-20210903-17,12.0716400518757,30.1664809390309,26.1211784324625,42.0,97.3587674247982,99.8502994011976,99.6447602131439,40.5571022727273,36.4562073863636,97.1704180064309
1004_0-20210903-18,12.5972383136689,31.1713279864799,27.3407448582546,45.0,97.1370143149284,100.0,99.5114006514658,53.7731009957326,35.6317496443812,96.6853408029879
1004_0-20210903-19,13.1736038200314,32.5282068447481,28.4805555555556,44.0,96.8832891246684,99.7245179063361,99.7395833333334,48.2347937411095,39.9654623044097,96.8345323741007
1004_0-20210903-20,13.3436170035678,30.7840122067766,27.16564758199,45.0,97.816265060241,99.9225406661503,99.7229916897507,48.2586913229019,34.4648221906117,97.841550159431
1004_0-20210903-21,11.4471621581652,24.3027675742923,27.8060033351862,44.0,96.8652037617555,99.9168744804655,100.0,44.8247937411095,38.2695021337127,97.9933110367893
1004_0-20210903-22,10.0665447055791,22.8262311298379,28.8315730961645,44.0,97.5268817204301,100.0,99.8319327731092,41.6438549075391,34.1909103840683,98.4906625735482
1004_0-20210903-23,9.81908407828327,16.8579935725952,23.2905555555556,39.0,97.5945017182131,99.8087954110899,99.6805111821086,54.4082503556188,26.7282219061166,100.389221556886
1004_0-20210904-0,9.43889920703192,15.175898051125,25.8977209560867,38.0,97.9949874686717,100.0,99.5535714285714,47.5379658605975,30.0235988620199,100.150300601202
1004_0-20210904-1,8.61336380827822,15.0006860816895,21.0777777777778,34.0,97.3094170403588,100.0,99.3055555555556,32.64046875,21.10296875,100.262960180316
1004_0-20210904-2,8.50058525866348,15.7355039052763,16.8304613674264,28.0,98.4,100.0,100.0,24.3601564722617,11.3037837837838,100.239578342118
1004_0-20210904-3,8.13253703173106,13.9334693554246,15.2805555555556,35.0,97.979797979798,100.0,100.0,21.2245945945946,6.6098719772404,99.8913515862668
1004_0-20210904-4,12.5984658624495,15.5039202365598,12.2890494719289,22.0,97.196261682243,100.0,98.2456140350877,17.3965433854908,5.30961593172119,99.5171537484117
1004_0-20210904-5,9.25386087794541,20.2830086930262,13.1005555555556,25.0,99.438202247191,100.0,98.7341772151899,15.006173541963,5.61960170697013,99.443542777649
1004_0-20210904-6,9.59721930630187,24.8251725856267,14.5358532518066,30.0,96.7105263157895,100.0,100.0,17.1944807965861,7.49126600284495,99.823771294302
1004_0-20210904-7,10.1843714603419,26.9635126777984,15.3155555555556,28.0,98.2968369829684,100.0,99.2779783393502,22.6647083926031,10.6474679943101,98.5879332477536
1004_0-20210904-8,9.88287650409825,26.3696909357983,20.4191217342968,38.0,98.6587183308495,100.0,99.4594594594595,26.7363157894737,14.6349217638691,99.1902296561795
1004_0-20210904-9,11.9035498086889,30.9495782038022,22.4713729849917,38.0,97.741935483871,99.6659242761693,99.7530864197531,26.5205823863636,22.2500710227273,98.2501807664497
1004_0-20210904-10,11.4925790265786,26.1658388305605,25.3366666666667,44.0,97.2589792060491,99.90234375,99.1749174917492,29.4972830725462,31.2139402560455,98.516086671044
1004_0-20210904-11,11.6954014015421,27.4282637532884,23.2078932740411,41.0,97.0009372071228,99.8048780487805,99.8158379373849,38.6862588904694,31.2963584637269,98.2617160339313
1004_0-20210904-12,12.4620916635092,30.1913470320711,22.136186770428,39.0,97.3830293417922,99.9181669394435,,36.9057325746799,27.4920625889047,97.9439515561189
1004_0-20210904-13,10.4795156656679,24.859532812361,20.6905555555556,36.0,97.7001703577513,99.9140893470791,99.8214285714286,25.3855618776671,20.3281223328592,98.1821031186335
1004_0-20210904-14,11.0055288699342,27.8364373055733,22.7209560867148,37.0,97.6210705182668,100.0,99.6396396396396,36.2095874822191,24.8952347083926,98.5321673953779
1004_0-20210904-15,10.9442488508461,23.0740707154725,24.9455252918288,42.0,96.3029756537421,99.9048525214082,100.0,37.2695874822191,29.4577809388336,98.4664816708047
1004_0-20210904-16,10.671452210317,26.6379081388663,25.1801000555864,45.0,97.9116465863454,99.9174236168456,99.2603550295858,40.9703413940256,33.2146230440967,97.8225806451613
1004_0-20210904-17,11.0595542204494,28.4100107339237,26.1072818232351,45.0,97.7401129943503,100.0,99.8654104979812,45.9444318181818,32.29359375,98.276299112801
1004_0-20210904-18,12.7560635498533,27.4002034504653,23.0755975541968,36.0,97.0786516853933,100.0,99.8484848484849,54.2531436699858,32.9519630156472,97.9948862871754
1004_0-20210904-19,11.8292848744173,29.0095675672894,22.4419121734297,43.0,97.5548060708263,100.0,99.7142857142857,42.9368278805121,30.8500568990043,98.6972965401317
1004_0-20210904-20,11.8492350781679,23.4917435663067,25.1966666666667,42.0,96.5254237288136,99.9037536092397,99.6021220159151,49.132347083926,34.4315078236131,99.0333560245065
1004_0-20210904-21,10.7111932838229,22.5810978854062,29.4563646470261,44.0,96.4171974522293,100.0,100.0,57.6297155049787,39.2389758179232,99.0568379250434
1004_0-20210904-22,9.87099359034142,20.7698319385104,25.5814341300723,40.0,97.9565772669221,100.0,99.8039215686275,50.2599288762447,27.9703129445235,98.9575996619242
1004_0-20210904-23,9.10056407480205,18.7505466821088,25.00611450806,38.0,97.8947368421053,100.0,99.6805111821086,54.0317923186344,35.408079658606,99.4864612511671
1004_0-20210905-0,9.92042155070438,14.2370603012803,24.7377777777778,40.0,98.2558139534884,100.0,99.3589743589744,49.8015362731152,26.9344950213371,99.5786516853933
1004_0-20210905-1,11.9134198762405,12.9306324595526,17.5091717620901,31.0,98.5365853658537,100.0,100.0,32.6640482954546,16.1750284090909,100.156402737048
1004_0-20210905-2,8.42658317371249,13.9717539807226,15.5416666666667,30.0,99.3243243243243,99.3197278911565,100.0,20.5509815078236,8.97009957325747,99.7958662924215
1004_0-20210905-3,9.06320657281364,17.2402441000479,15.32518065592,28.0,98.9130434782609,100.0,100.0,19.2601564722617,6.79934566145092,99.9761222540592
1004_0-20210905-4,9.01250965541928,18.6054271409693,13.9005555555556,25.0,97.7272727272727,100.0,100.0,10.2926315789474,4.97140825035562,100.048134777377
1004_0-20210905-5,6.35391932688913,20.6122666279278,13.6470261256253,28.0,98.7179487179487,100.0,100.0,9.46186344238976,5.58758179231864,100.151777970512
1004_0-20210905-6,7.94056165183766,20.798698597218,15.1788888888889,29.0,97.9838709677419,100.0,100.0,11.2748221906117,7.75736842105263,100.269438029253
1004_0-20210905-7,8.24005110697015,24.6089273214282,15.2862701500834,29.0,99.1071428571429,100.0,100.0,13.3194025604552,9.01857752489332,100.327570518653
1004_0-20210905-8,9.75975307745976,25.3593362863695,18.5227777777778,31.0,97.4025974025974,99.3839835728953,100.0,18.7087908961593,12.7055618776671,100.274825943569
1004_0-20210905-9,10.7093009469633,30.6967411059372,18.2768204558088,35.0,97.9259259259259,99.0318118948824,100.0,22.4568465909091,15.4124005681818,98.057212788741
1004_0-20210905-10,10.7989531601284,26.9264546677864,21.4488888888889,40.0,97.2404730617609,99.7245179063361,99.7402597402598,30.0514651493599,32.0491607396871,98.7354577642893
1004_0-20210905-11,10.3107126169125,26.5459440430296,23.2329071706504,46.0,97.9257641921397,99.8867497168743,99.3197278911565,28.248293029872,30.0614082503556,98.5427461139896
1004_0-20210905-12,11.8999929757505,30.3204215328908,21.6553640911618,36.0,97.3076923076923,99.6825396825397,99.8073217726397,32.7799146514936,23.7937695590327,99.0163414247184
1004_0-20210905-13,12.4283008297095,34.1939271026791,17.4168982768205,30.0,98.2456140350877,99.8975409836066,99.7787610619469,33.6909530583215,18.1416073968706,98.4576271186441
1004_0-20210905-14,11.3654651789788,27.4244797421133,21.7192884936076,38.0,97.4738675958188,99.8181818181818,99.8316498316498,41.2349928876245,27.6843954480797,98.1660595402588
1004_0-20210905-15,11.1253890608221,28.7764577760935,22.3255555555556,35.0,97.2924187725632,99.9031007751938,99.8447204968944,35.202972972973,23.6553058321479,98.9449164154563
1004_0-20210905-16,10.8571816707562,29.5882208145984,22.7254030016676,38.0,97.7001703577513,99.9082568807339,100.0,36.3982361308677,42.3553911806543,98.1042042816611
1004_0-20210905-17,8.97464025923785,25.2335009477437,25.4608115619789,44.0,97.9504696840307,99.8175182481752,99.5238095238095,40.0843607954545,59.3692471590909,98.0279482826172
1004_0-20210905-18,11.6274176904631,30.0411169497153,25.3640911617565,43.0,97.6342129208371,99.9069767441861,99.8480243161094,,,98.1420208704505
1004_0-20210905-19,11.2759792842417,28.6760903094637,27.2462479155086,45.0,97.0980392156863,99.8289136013687,99.8626373626374,44.5616500711238,31.9691038406828,98.8082073964861
1004_0-20210905-20,11.075922744474,23.9715533936653,27.088938299055,41.0,97.8280542986425,99.9005964214712,99.8546511627907,54.8499004267425,43.1815789473684,99.0782858510893
1004_0-20210905-21,10.4759727537718,23.376921721072,26.6333333333333,45.0,97.843137254902,99.892703862661,99.5238095238095,40.6639971550498,36.7026173541963,98.9115829078205
1004_0-20210905-22,10.2664457128954,20.9066133710671,30.2968315730962,44.0,99.0578734858681,99.85935302391,100.0,51.7180227596017,33.3332432432433,99.4502617801047
1004_0-20210905-23,10.0092912797322,19.5307390092404,30.6397998888271,45.0,97.9357798165138,100.0,100.0,49.4237980085349,30.2798577524893,99.6667555318582
1004_0-20210906-0,11.1727298382337,20.1746372833174,30.0194444444444,46.0,97.9094076655052,100.0,99.2805755395683,41.8438549075391,28.8994594594595,99.5105536861426
1004_0-20210906-1,8.01548730805051,21.0802451513275,22.2345747637576,33.0,98.7577639751553,100.0,100.0,26.3951278409091,17.5048579545455,99.9254065343876
1004_0-20210906-2,8.00818852774864,22.0692772255414,18.4588888888889,34.0,100.0,100.0,100.0,21.3603698435277,10.5104836415363,99.4798690040455
1004_0-20210906-3,9.26384517061046,22.1839095009013,17.6464702612563,31.0,98.0769230769231,100.0,100.0,18.1367567567568,6.22297297297297,99.8084698872101
1004_0-20210906-4,8.90102449455798,21.6019491035204,16.0916666666667,30.0,99.21875,100.0,100.0,21.4551778093883,7.34298719772404,99.5084136887881
1004_0-20210906-5,9.14067623899954,26.7457578861303,18.1823235130628,31.0,95.5947136563877,99.0610328638498,100.0,17.06786628734,9.4099146514936,99.8687417963623
1004_0-20210906-6,10.9419719537388,28.6293500142428,20.8683333333333,36.0,97.3154362416108,100.0,100.0,30.0976244665718,13.0532290184922,99.6643758989931
1004_0-20210906-7,13.3738200729835,36.2676912064265,18.9722067815453,33.0,97.8021978021978,100.0,99.6376811594203,26.8443100995733,15.1384921763869,98.8258640648255
